Sample_ID,Village_Name,Latitude,Longitude,District,State,Land_Use_Type,Irrigation_Type,Sand_percent,Silt_percent,Clay_percent,Soil_Texture_Class,Soil_Temperature_C,pH,EC_dS_m,Organic_Carbon_percent,Available_N_kg_ha,Available_P_kg_ha,Available_K_kg_ha,Available_S_mg_kg,Fe_mg_kg,Mn_mg_kg,Zn_mg_kg,Cu_mg_kg,Heavy_Metal_Pb,Heavy_Metal_Cd,Heavy_Metal_Cr,Pesticide_Residue_Level,Industrial_Contamination_Flag,Groundwater_Depth_m,Fertilizer_Use_kg_per_ha,Cropping_Intensity_percent,Soil_Erosion_Risk,Soil_Health_Status,Soil_Pollution_Status,Sustainability_Index,Soil_Health_Card_Issued,Covered_Under_NMSA,PMKSY_Irrigation_Beneficiary,Digital_Soil_Record_Available
11,Pimpalgaon,19.59929,73.894653,Ahmednagar,Maharashtra,Residential,Rainfed,59.9,20.5,19.6,Clayey,34.4,5.76,1,0.31,153,16,117,8.18,2.6,2.67,0.9,0.34,46.69,1.14,0.65,Safe,40.5,269,160,High,Poor,Safe,67,Yes,No,Yes,Yes,
12,Murshet,19.405553,73.724616,Ahmednagar,Maharashtra,Forest,Rainfed,55.9,28,16.1,Loamy,26.9,7.24,1.05,0.93,259,22,355,12.25,2.32,6.33,0.83,0.69,13.17,0.39,0.69,Contaminated,33.2,75,187,Low,Healthy,Contaminated,53,Yes,Yes,No,No,
13,Pimpalgaon,19.666619,73.857137,Ahmednagar,Maharashtra,Residential,Drip,35.5,35.4,29.1,Loamy,32.3,7.96,1.07,0.91,169,17,398,23.6,1.09,3.95,1.31,1.02,31.53,1.81,0.9,Safe,38.4,229,131,Medium,Poor,Safe,53,No,Yes,Yes,Yes,
14,Akole,19.643128,73.847002,Ahmednagar,Maharashtra,Industrial,Drip,31.7,39.4,28.9,Sandy,30.5,6.14,0.48,0.38,324,9,143,17.95,3.21,4.15,1.13,0.11,35.51,0.77,0.07,Safe,9.8,204,126,Medium,Moderate,Safe,51,No,Yes,Yes,No,
15,Rajur,19.480933,73.843548,Ahmednagar,Maharashtra,Fallow,Rainfed,45.8,31.1,23.1,Clayey,31.3,7.53,0.93,0.44,154,20,371,10.87,1.35,4.22,1.4,0.61,30.74,0.77,0.01,Safe,16.9,200,131,Low,Poor,Safe,60,No,No,No,Yes,
16,Murshet,19.626373,73.679771,Ahmednagar,Maharashtra,Agricultural,Rainfed,53.9,28.9,17.2,Clayey,30.6,5.51,0.14,0.49,141,5,395,9.1,1.52,5.67,0.36,0.27,18.57,1.51,0.74,Safe,44.5,256,154,Medium,Poor,Safe,85,Yes,No,Yes,No,
17,Pimpalgaon,19.637262,73.792774,Ahmednagar,Maharashtra,Agricultural,Drip,39.2,18.5,42.3,Clayey,29.8,7.4,0.41,0.7,146,14,175,21.32,3.84,3.45,0.38,0.72,46.72,0.81,0.73,Safe,16.3,216,151,Medium,Poor,Safe,93,No,Yes,No,Yes,
18,Chichondi,19.448713,73.858208,Ahmednagar,Maharashtra,Industrial,Drip,40.9,12.1,47,Loamy,22.1,6.41,0.11,0.67,130,10,250,15.63,4.74,3.18,0.43,0.73,45.98,1.49,0.72,Safe,20.6,166,224,High,Poor,Safe,72,No,Yes,No,No,
19,Rajur,19.409105,73.78821,Ahmednagar,Maharashtra,Forest,Drip,42.3,18.8,38.9,Sandy,33,5.88,0.76,0.93,125,23,101,13.88,4.97,7.24,1.29,0.72,29.22,1.76,0.24,Safe,22.9,297,143,Low,Poor,Safe,50,Yes,Yes,No,No,
20,Murshet,19.59343,73.675327,Ahmednagar,Maharashtra,Forest,Flood,40.3,31.6,28.1,Clayey,23.7,6.65,1.14,0.84,170,6,158,22.46,4.86,2.22,0.1,0.33,28.27,1.68,0.15,Contaminated,20.1,130,234,High,Poor,Contaminated,47,No,Yes,No,No,
21,Pimpalgaon,19.4682,73.777499,Ahmednagar,Maharashtra,Industrial,Drip,22,37.1,40.9,Clayey,28.7,6.84,1.12,0.37,162,19,395,16.71,3.8,4.23,0.2,1.2,43.52,1.43,0.21,Contaminated,7.1,126,105,Low,Poor,Contaminated,44,No,Yes,No,Yes,
22,Chichondi,19.467363,73.600406,Ahmednagar,Maharashtra,Industrial,Drip,58.1,21.4,20.5,Sandy,27.8,6.39,0.53,0.39,201,22,109,22.37,4.45,5.97,0.55,0.81,40.84,0.55,0.78,Contaminated,26.6,60,169,High,Moderate,Contaminated,45,No,Yes,No,Yes,
23,Murshet,19.40083,73.728095,Ahmednagar,Maharashtra,Forest,Rainfed,33.4,23,43.6,Loamy,27.2,5.75,1.09,0.76,191,6,375,16.89,1.09,2.37,1.27,1.07,12.76,0.68,0.18,Contaminated,23.3,252,152,Low,Moderate,Contaminated,70,No,Yes,No,Yes,
24,Chichondi,19.454184,73.683389,Ahmednagar,Maharashtra,Fallow,Flood,43.6,31.7,24.7,Sandy,24.2,6.83,1.2,0.56,324,14,138,9.92,3.39,7.16,0.79,1.16,28.66,1.35,0.5,Contaminated,25.5,68,118,High,Moderate,Contaminated,69,Yes,No,Yes,Yes,
25,Pimpalgaon,19.461746,73.831919,Ahmednagar,Maharashtra,Fallow,Flood,42.9,11.9,45.2,Clayey,25.1,7.28,0.41,0.76,293,17,191,22.78,4.25,2.84,0.2,0.95,31.65,0.32,0,Safe,45.5,75,205,High,Healthy,Safe,64,No,No,Yes,Yes,
26,Akole,19.647244,73.748494,Ahmednagar,Maharashtra,Industrial,Drip,44.1,14.9,41,Sandy,32.4,7.13,0.5,0.62,279,22,227,23.29,4.87,6.59,1.41,0.64,10.66,1.74,0.04,Safe,14.6,232,110,Low,Healthy,Safe,40,Yes,Yes,Yes,Yes,
27,Chichondi,19.573028,73.871658,Ahmednagar,Maharashtra,Forest,Drip,57.6,28.4,14,Sandy,28.5,6.33,0.95,0.93,241,12,259,24.85,4.32,5.36,0.68,0.45,20.29,0.91,0.2,Safe,8.1,55,121,Low,Moderate,Safe,67,No,Yes,Yes,No,
28,Pimpalgaon,19.54045,73.706507,Ahmednagar,Maharashtra,Agricultural,Drip,28.2,29.4,42.4,Clayey,34.6,6.89,0.84,1,330,24,319,19.68,3.92,6.26,1.33,0.51,31.13,0.53,0.77,Safe,29,55,130,High,Healthy,Safe,48,No,No,Yes,No,
29,Akole,19.405844,73.785091,Ahmednagar,Maharashtra,Agricultural,Flood,38.6,16.3,45.1,Loamy,22.8,7.35,0.27,0.3,135,22,208,5.51,3.6,2.15,0.88,0.94,21.39,0.21,0.43,Contaminated,17.3,92,225,High,Poor,Contaminated,54,Yes,No,No,No,
30,Akole,19.5097,73.887634,Ahmednagar,Maharashtra,Residential,Rainfed,30,19.6,50.4,Sandy,31.9,7.41,0.99,0.53,191,10,187,15.43,2.98,2.41,1.4,1.1,28.66,1.1,0.32,Safe,26.8,214,131,Medium,Moderate,Safe,44,No,Yes,No,No,
31,Chichondi,19.60574,73.795007,Ahmednagar,Maharashtra,Industrial,Flood,43.3,20.3,36.4,Clayey,23.7,7.63,0.7,0.63,347,16,278,17.47,3.32,5.13,0.69,0.89,59.46,0.14,0.28,Safe,45.7,98,243,Low,Moderate,Safe,46,No,No,Yes,No,
32,Chichondi,19.651199,73.834698,Ahmednagar,Maharashtra,Forest,Rainfed,31.1,21.9,47,Clayey,27.6,6.13,0.93,0.63,297,19,382,14.39,2.83,4.84,0.27,0.42,33.98,0.91,0.81,Safe,21.7,57,214,Medium,Healthy,Safe,93,Yes,No,Yes,Yes,
33,Chichondi,19.68499,73.861649,Ahmednagar,Maharashtra,Agricultural,Drip,47.5,18,34.5,Sandy,27.4,5.64,0.96,0.73,228,13,185,13.34,1.04,1.24,1.08,1.03,10.17,1.57,0.88,Safe,34.7,116,143,Low,Moderate,Safe,65,Yes,Yes,Yes,No,
34,Akole,19.532572,73.804772,Ahmednagar,Maharashtra,Agricultural,Drip,33.9,34.8,31.3,Loamy,30.1,5.99,0.93,0.76,334,14,134,12.39,2.03,1.73,0.92,0.4,45.25,0.11,0.68,Safe,33.9,283,129,Low,Moderate,Safe,49,No,No,Yes,Yes,
35,Murshet,19.569103,73.825935,Ahmednagar,Maharashtra,Forest,Rainfed,21.3,38.8,39.9,Clayey,28.1,6.53,1.07,0.6,211,18,216,6.81,2.07,5.43,1.34,0.91,20.74,1.68,0.74,Safe,39.6,133,163,Medium,Moderate,Safe,56,No,No,No,Yes,
36,Pimpalgaon,19.49359,73.637731,Ahmednagar,Maharashtra,Agricultural,Flood,57.2,31.8,11,Loamy,32.5,6.9,0.54,0.52,226,10,399,14.39,4,3.36,1.49,0.85,35.36,1.71,0.61,Safe,30.2,249,156,Medium,Moderate,Safe,48,Yes,Yes,No,Yes,
37,Murshet,19.528094,73.806352,Ahmednagar,Maharashtra,Agricultural,Flood,40.8,24.6,34.6,Clayey,29.8,6.5,1.18,0.99,222,11,314,9.14,4.3,4.52,0.81,0.24,34.18,1.35,0.25,Safe,31.6,198,222,Medium,Moderate,Safe,68,Yes,Yes,Yes,Yes,
38,Rajur,19.425673,73.882516,Ahmednagar,Maharashtra,Industrial,Rainfed,39.7,17.8,42.5,Sandy,25.6,6.8,0.64,0.4,209,15,255,11.02,1.23,7.74,0.37,0.35,30.66,1.4,0.06,Safe,13,297,209,High,Moderate,Safe,54,No,Yes,Yes,Yes,
39,Rajur,19.45348,73.876167,Ahmednagar,Maharashtra,Agricultural,Rainfed,58.2,19,22.8,Loamy,30.3,8,0.74,0.59,194,20,143,22.06,3.88,7.29,0.61,0.74,18.63,1.43,0.03,Safe,35.8,140,217,Low,Moderate,Safe,91,Yes,Yes,No,Yes,
40,Murshet,19.537595,73.60703,Ahmednagar,Maharashtra,Industrial,Drip,39.1,30.9,30,Clayey,29.5,7.69,0.2,0.71,254,5,276,9.34,2.3,4.25,0.23,0.16,54.01,0.28,0.32,Safe,29.1,87,152,Low,Moderate,Safe,55,No,No,No,No,
41,Murshet,19.527807,73.607638,Ahmednagar,Maharashtra,Agricultural,Rainfed,26.9,20.1,53,Loamy,29.4,6.51,0.18,0.64,327,24,174,6.65,1.24,7.37,0.61,0.24,12.12,1.89,0.7,Safe,39.2,143,144,High,Healthy,Safe,77,No,No,No,Yes,
42,Pimpalgaon,19.522074,73.746328,Ahmednagar,Maharashtra,Agricultural,Rainfed,42.6,33.5,23.9,Sandy,28.2,6.63,0.68,0.71,267,7,240,8.04,3.41,7.67,1.2,0.62,36.37,1.69,0.19,Contaminated,27.5,232,196,High,Moderate,Contaminated,86,No,Yes,No,No,
43,Chichondi,19.658276,73.84962,Ahmednagar,Maharashtra,Forest,Flood,38.6,25.1,36.3,Loamy,31.9,5.81,0.73,0.98,187,10,94,10.41,1.58,3.41,0.99,0.48,32.25,0.14,0.74,Safe,38.2,167,241,High,Moderate,Safe,47,Yes,No,Yes,Yes,
44,Rajur,19.567189,73.805151,Ahmednagar,Maharashtra,Residential,Flood,40.4,23.9,35.7,Clayey,24.9,5.73,1.02,0.51,328,7,140,15.87,4.68,6.99,0.12,0.34,50.07,0.76,0.43,Safe,6.2,166,212,Medium,Moderate,Safe,62,No,Yes,Yes,No,
45,Murshet,19.437738,73.628385,Ahmednagar,Maharashtra,Residential,Flood,30.7,39.8,29.5,Loamy,25,6.12,1.03,0.9,159,17,331,19.86,1.47,5.85,0.55,0.94,31.44,1.31,0.5,Safe,37.9,225,158,Medium,Poor,Safe,53,No,No,No,No,
46,Rajur,19.513915,73.846795,Ahmednagar,Maharashtra,Industrial,Rainfed,28.2,24.9,46.9,Loamy,24.4,6.85,0.94,0.9,324,18,112,20.52,3.28,7.75,0.23,0.81,16.93,1.12,0.44,Safe,40.8,186,158,Medium,Moderate,Safe,55,Yes,Yes,Yes,Yes,
47,Pimpalgaon,19.431964,73.764689,Ahmednagar,Maharashtra,Fallow,Rainfed,31.7,19.7,48.6,Loamy,30.1,7.76,0.49,0.52,182,24,328,9.38,1.1,5.61,1.24,0.27,36.76,1.48,0.89,Safe,23.8,251,222,Medium,Moderate,Safe,62,Yes,No,Yes,No,
48,Rajur,19.527951,73.707662,Ahmednagar,Maharashtra,Industrial,Rainfed,47,21.3,31.7,Loamy,29.4,7.73,0.88,0.67,122,12,140,13.83,3.28,3.58,0.86,0.31,30.48,1.3,0.42,Safe,44.5,169,128,Low,Poor,Safe,51,Yes,Yes,Yes,Yes,
49,Murshet,19.693521,73.675105,Ahmednagar,Maharashtra,Forest,Flood,21.2,16.5,62.3,Clayey,30.9,7.15,1.1,0.7,279,21,263,10.4,1.47,7.53,0.58,0.74,30.29,0.58,0.57,Safe,5.5,180,195,Medium,Healthy,Safe,79,Yes,No,Yes,No,
50,Akole,19.607221,73.810263,Ahmednagar,Maharashtra,Residential,Flood,49.7,28.9,21.4,Clayey,27.3,6.29,1.17,0.86,333,17,381,23.23,2.78,2.69,1.16,0.85,22.56,0.18,0.13,Safe,17.3,66,152,Low,Healthy,Safe,68,No,No,Yes,Yes,
51,Pimpalgaon,19.498543,73.893244,Ahmednagar,Maharashtra,Residential,Rainfed,25.9,13.2,60.9,Sandy,32.9,5.57,0.33,0.7,315,25,295,6.94,2.21,1.34,1.42,0.24,24.33,1.14,0.53,Safe,45.2,123,170,High,Moderate,Safe,76,No,No,No,No,
52,Chichondi,19.53868,73.800541,Ahmednagar,Maharashtra,Agricultural,Flood,54.1,35.3,10.6,Sandy,22.6,6.91,0.68,0.64,199,10,391,21.87,3.73,1.75,1.38,1.19,32.52,1.56,0.78,Safe,19.9,79,112,Medium,Moderate,Safe,58,Yes,Yes,No,Yes,
53,Pimpalgaon,19.40327,73.853825,Ahmednagar,Maharashtra,Residential,Drip,42.5,36.2,21.3,Sandy,25.3,7.02,0.74,0.48,140,5,394,18.34,3.63,2.02,1.39,0.22,26.79,1.65,0.14,Contaminated,29.5,195,170,Low,Poor,Contaminated,43,Yes,No,Yes,Yes,
54,Rajur,19.640885,73.84499,Ahmednagar,Maharashtra,Agricultural,Rainfed,38.6,21.6,39.8,Sandy,28.8,6.33,0.88,0.5,289,7,268,6.9,4.28,1.19,1.08,0.39,19.07,1.16,0.3,Contaminated,37.5,92,225,Medium,Moderate,Contaminated,81,No,Yes,No,No,
55,Murshet,19.6653,73.724371,Ahmednagar,Maharashtra,Forest,Flood,28.6,23.5,47.9,Sandy,25.7,7.38,0.3,0.84,190,21,205,22.4,3,3.87,1.22,0.15,37.05,0.65,0.57,Safe,40,75,245,Low,Moderate,Safe,80,No,Yes,No,No,
56,Akole,19.438131,73.660968,Ahmednagar,Maharashtra,Forest,Drip,57.3,29.1,13.6,Sandy,28.6,7.27,0.83,0.66,273,5,196,14.07,1.02,5.13,1.06,1.01,38.41,0.54,0.44,Safe,48.9,133,189,High,Moderate,Safe,85,No,No,Yes,Yes,
57,Pimpalgaon,19.618754,73.701929,Ahmednagar,Maharashtra,Agricultural,Flood,52.4,14.7,32.9,Sandy,34,7.4,0.74,0.67,235,5,99,15.51,2.14,3.7,1.49,0.88,31.73,1.2,0.32,Safe,32.5,130,247,Low,Moderate,Safe,77,Yes,Yes,No,Yes,
58,Rajur,19.406255,73.686238,Ahmednagar,Maharashtra,Agricultural,Rainfed,41.9,26.5,31.6,Clayey,23.5,6.94,0.53,0.35,348,19,329,12.71,4.27,5.56,0.39,1,24.59,1.43,0.68,Contaminated,42.2,78,131,High,Healthy,Contaminated,87,No,No,No,No,
59,Murshet,19.693673,73.895484,Ahmednagar,Maharashtra,Forest,Flood,24.7,32.6,42.7,Sandy,30.1,7.8,0.79,0.35,156,6,134,10.09,3.75,5.33,0.33,0.55,19.99,1.54,0.33,Safe,48.3,165,222,Medium,Poor,Safe,94,Yes,No,No,Yes,
60,Rajur,19.519055,73.769737,Ahmednagar,Maharashtra,Industrial,Rainfed,54.3,12.7,33,Sandy,28.8,6.61,0.45,0.71,273,23,350,5.25,3.61,3.39,0.67,0.78,30.12,0.34,0.03,Safe,7.1,90,158,Low,Healthy,Safe,87,Yes,No,No,No,
61,Chichondi,19.644724,73.878453,Ahmednagar,Maharashtra,Forest,Flood,53.7,11.3,35,Loamy,22.1,7.09,0.32,0.65,294,6,133,6.29,3.4,2.22,0.89,0.89,32.34,1.35,0.62,Safe,16.4,107,234,Low,Moderate,Safe,87,No,Yes,Yes,Yes,
62,Murshet,19.591667,73.802636,Ahmednagar,Maharashtra,Industrial,Drip,54.7,14.7,30.6,Clayey,25.2,7.59,0.62,0.37,222,15,344,7.3,4.9,2.48,0.23,1.08,36.46,0.79,0.73,Safe,14.7,68,185,Low,Moderate,Safe,87,Yes,No,Yes,Yes,
63,Akole,19.514122,73.658008,Ahmednagar,Maharashtra,Industrial,Rainfed,48.4,27.6,24,Clayey,34.9,7.62,1.09,0.81,252,21,137,21.15,4.83,7.91,0.89,0.86,34.9,1.39,0.41,Contaminated,42.6,115,209,High,Moderate,Contaminated,64,Yes,Yes,Yes,No,
64,Rajur,19.527814,73.854361,Ahmednagar,Maharashtra,Industrial,Drip,50,38.5,11.5,Clayey,23.5,7.15,0.74,0.46,261,25,344,13.66,1.9,4.78,0.95,0.39,32.29,0.3,0.99,Safe,20.1,98,249,Medium,Healthy,Safe,49,No,Yes,Yes,No,
65,Akole,19.641399,73.616687,Ahmednagar,Maharashtra,Residential,Flood,40.3,10.4,49.3,Clayey,31.6,5.57,1.17,0.91,287,19,370,16.11,3.27,2.48,1.34,0.75,35.24,0.51,0.25,Safe,44.6,258,157,Medium,Moderate,Safe,87,Yes,No,Yes,No,
66,Rajur,19.557707,73.628902,Ahmednagar,Maharashtra,Forest,Flood,37.2,23.4,39.4,Clayey,27.2,7.13,0.7,0.78,312,9,106,5.74,2.51,1.58,1.29,0.19,45.76,0.68,0.77,Safe,27.7,247,194,Low,Moderate,Safe,80,Yes,No,No,Yes,
67,Pimpalgaon,19.648188,73.834808,Ahmednagar,Maharashtra,Fallow,Rainfed,50,33.8,16.2,Sandy,25.1,7.68,0.86,0.96,329,16,157,24.09,2.08,3.66,0.34,1.2,41.03,0.76,0.71,Contaminated,22.6,152,203,Medium,Moderate,Contaminated,53,Yes,No,No,Yes,
68,Murshet,19.571395,73.7394,Ahmednagar,Maharashtra,Industrial,Drip,42.9,10.1,47,Loamy,28.8,7.75,0.66,0.81,225,16,354,7.23,4.45,6.71,1.23,1.03,28.05,1.96,0.53,Safe,34.4,281,217,Low,Moderate,Safe,70,Yes,Yes,No,Yes,
69,Murshet,19.481092,73.629151,Ahmednagar,Maharashtra,Fallow,Rainfed,24.4,15,60.6,Clayey,32.8,7.31,0.14,0.69,275,17,249,16.55,4.69,4.35,1.31,1.07,46.92,0.52,0.39,Safe,14.5,295,239,Medium,Healthy,Safe,47,No,No,Yes,No,
70,Rajur,19.486694,73.8459,Ahmednagar,Maharashtra,Agricultural,Drip,55.8,11.4,32.8,Clayey,25.9,6.37,0.81,0.92,143,22,175,17.8,4.97,5.82,0.32,1.19,53.09,0.17,0.47,Safe,14.5,62,201,High,Poor,Safe,70,No,Yes,Yes,Yes,
71,Rajur,19.428231,73.760871,Ahmednagar,Maharashtra,Residential,Flood,42.7,13.7,43.6,Sandy,33,5.79,0.1,0.63,295,8,221,9.49,1.92,4.4,1.42,0.8,37.52,0.38,0.07,Safe,31.8,154,162,Medium,Moderate,Safe,71,No,No,No,Yes,
72,Chichondi,19.566222,73.755626,Ahmednagar,Maharashtra,Forest,Rainfed,21.1,24.3,54.6,Clayey,26.3,6.84,0.6,0.75,134,22,91,5.36,3.71,3.6,0.4,0.45,52.98,2,0.64,Safe,12.6,63,226,High,Poor,Safe,81,Yes,Yes,No,No,
73,Akole,19.493711,73.885039,Ahmednagar,Maharashtra,Fallow,Rainfed,55.8,30,14.2,Sandy,24,6.65,0.15,0.57,299,14,290,20,3.58,1.26,0.12,0.13,21.24,1.7,0.41,Safe,46,188,120,High,Healthy,Safe,42,Yes,Yes,No,No,
74,Rajur,19.68645,73.80322,Ahmednagar,Maharashtra,Fallow,Flood,44.9,16.8,38.3,Sandy,24.6,6.27,0.76,0.55,302,12,296,10.6,3.47,3.78,0.22,0.72,45.5,0.2,0.59,Safe,22.4,285,102,High,Moderate,Safe,63,Yes,Yes,Yes,Yes,
75,Murshet,19.591707,73.862377,Ahmednagar,Maharashtra,Industrial,Rainfed,49,28.6,22.4,Clayey,34.7,7.11,1.11,0.67,250,20,271,11.69,4.7,7.05,1.48,1.17,52.1,1.02,0.39,Safe,23.9,52,198,Medium,Moderate,Safe,93,No,Yes,No,Yes,
76,Chichondi,19.450082,73.749872,Ahmednagar,Maharashtra,Forest,Drip,43.6,39.2,17.2,Sandy,25.5,7.77,0.67,0.75,308,11,208,19.5,2.17,2.95,1.35,1.07,13.85,0.47,0.92,Safe,26.3,147,220,Medium,Moderate,Safe,74,Yes,Yes,Yes,Yes,
77,Rajur,19.606464,73.872657,Ahmednagar,Maharashtra,Industrial,Rainfed,39.2,25.3,35.5,Loamy,30.5,6.63,0.42,0.6,218,24,117,7.92,3.52,7.5,0.58,1.19,39.77,1.2,0.83,Safe,14.5,206,103,High,Moderate,Safe,69,No,No,No,No,
78,Pimpalgaon,19.425587,73.892421,Ahmednagar,Maharashtra,Forest,Rainfed,25.2,35.1,39.7,Sandy,28.5,5.63,0.13,0.86,265,8,317,21.26,2.94,1.2,0.29,1.03,18.12,1.33,0.57,Safe,10.7,169,175,High,Moderate,Safe,94,Yes,No,No,Yes,
79,Akole,19.418271,73.768875,Ahmednagar,Maharashtra,Agricultural,Rainfed,21.3,27.2,51.5,Sandy,32.4,7.08,0.89,0.88,150,12,339,8.33,4.51,3.73,0.66,1.19,39.75,1.24,0.51,Safe,22.4,190,189,High,Poor,Safe,89,No,Yes,Yes,No,
80,Rajur,19.583909,73.867427,Ahmednagar,Maharashtra,Fallow,Flood,57.2,37.5,5.3,Loamy,27.3,5.79,0.29,0.78,211,10,208,10.23,2.39,3.62,0.71,0.71,15.88,1.89,0.53,Safe,24.3,286,113,High,Moderate,Safe,55,No,Yes,No,Yes,
81,Murshet,19.48886,73.728961,Ahmednagar,Maharashtra,Agricultural,Flood,57.8,10.3,31.9,Sandy,24.3,6.21,0.25,0.64,264,8,388,21.9,2.57,4.66,0.46,0.93,53.53,0.37,0.84,Safe,7.7,281,145,High,Moderate,Safe,82,Yes,Yes,No,Yes,
82,Rajur,19.626286,73.897831,Ahmednagar,Maharashtra,Industrial,Drip,23.4,34,42.6,Clayey,25.3,5.61,0.18,0.91,308,20,362,12.03,2.23,2.15,0.75,0.72,34.87,0.44,0.59,Safe,11.8,243,175,High,Moderate,Safe,55,No,No,No,Yes,
83,Pimpalgaon,19.624266,73.814115,Ahmednagar,Maharashtra,Residential,Rainfed,50.3,30.2,19.5,Loamy,28.2,6.46,1.05,0.76,162,23,280,24.02,2.78,5.72,1.41,0.46,58.99,1.14,0.13,Safe,16.8,223,169,Low,Poor,Safe,82,No,Yes,No,Yes,
84,Pimpalgaon,19.62674,73.720039,Ahmednagar,Maharashtra,Residential,Drip,46.3,17.1,36.6,Clayey,27.5,5.88,0.93,0.39,218,13,316,15.72,2.33,1.76,0.28,0.27,16.07,0.64,0.53,Safe,5.5,103,241,Medium,Moderate,Safe,77,Yes,Yes,Yes,No,
85,Pimpalgaon,19.656599,73.794967,Ahmednagar,Maharashtra,Industrial,Rainfed,40.9,29.8,29.3,Loamy,34.9,6.88,1.17,0.68,262,8,152,24.77,3.29,6.07,1.33,0.4,21.34,0.35,0.25,Safe,24.9,202,118,Medium,Moderate,Safe,73,No,Yes,Yes,Yes,
86,Akole,19.656445,73.671236,Ahmednagar,Maharashtra,Agricultural,Rainfed,27.4,35.2,37.4,Sandy,27,6.64,0.6,0.76,181,7,251,5.96,3.74,5.26,1.32,0.72,13.52,0.89,0.1,Safe,43.8,68,202,High,Moderate,Safe,62,Yes,Yes,Yes,No,
